upregulated,downregulated
TNPO1,ADD1
MMS19,PFDN5
NUCKS1,ATP5F1D
DENND5B,FBLN2
BPTF,COX6A2
SMARCC1,HCFC1
CEBPZ,ATP5F1A
PRMT1,ADH1B
TGFB2,EFHD1
NDRG2,MRPL36
ZBTB20,IMPA2
P2RY1,MRLN
EZR,NPAS2
ASPH,SLC29A1
APPL1,CHCHD10
DYNC1H1,POTEF
NSUN6,ATP5MK
DST,PCBD1
FBXW7,JTB
PRDX1,HLA-B
CD99L2,ALKBH7
NPR3,DECR2
ZMYND11,DBET
DNAJC7,NDUFC1
SYNE2,TSG101
NBR1,NDUFA7
MAN1A2,NDUFS7
FRG1,ATRAID
KCNB1,DGLUCY
MALAT1,MT-CO1
PNISR,NDUFB1
DYNC1LI2,CEBPD
CSDE1,VPS28
SNHG25,MACROD1
RBM25,NDUFB3
PTMA,SLC41A3
HSPA5,ABHD14A
YTHDF3,MRPS24
PPP1R3A,GABARAP
BTBD7,
SELENOK,
SFMBT1,
EIF5B,
MIR133A1HG,
FXR1,
LIMA1,
FXR2,
CNOT11,
VMO1,
S100A4,
RLF,
RERGL,
KMT2A,
WNK1,
SYF2,
CHD2,
DDX6,
CAVIN1,
RN7SL5P,
BCYRN1,
MYOM2,
ATP2B1,
ZDHHC21,
LUC7L3,
EIF3A,
MYOM1,
MYL5,
PIK3R1,
