Row.names,CTL_iPSC_d21_n_1,CTL_iPSC_d21_n_2,CTL_iPSC_d35_n_1,CTL_iPSC_d35_n_2,CTL_iPSC_d90_n_1,CTL_iPSC_d90_n_2,CTL_iPSC_d90_VPA_n_1,CTL_iPSC_d90_VPA_n_2,DS_iPSC_d35_n_3,DS_iPSC_d35_n_4,DS_iPSC_d90_n_1,DS_iPSC_d90_n_2,DS_iPSC_d90_VPA_n_1,DS_iPSC_d90_VPA_n_2
ENSG00000000003,4139,3692,3057,3257,4043,4565,1333,1907,3012,3146,907,1152,1539,1657
ENSG00000000005,3,3,7,7,8,16,43,73,17,10,22,13,1,7
ENSG00000000419,1243,1153,1053,1100,1115,1259,1494,1720,969,1130,1389,1535,963,966
ENSG00000000457,518,420,494,504,807,785,579,660,366,438,651,690,425,450
ENSG00000000460,889,846,454,478,369,309,232,275,404,580,432,419,404,305
ENSG00000000938,1,0,2,0,9,4,8,3,5,3,4,7,5,12
ENSG00000000971,0,0,2,6,79,82,27,48,1,0,10,16,13,10
ENSG00000001036,1470,1421,1520,1559,1180,1393,441,662,861,1020,131,296,450,443
ENSG00000001084,1348,1178,1024,1037,3205,2594,2219,2649,1033,1191,2047,2198,1093,1145
ENSG00000001167,1913,1792,2224,2623,2151,2096,3146,3090,1689,2280,4417,4736,2390,2358
ENSG00000001460,279,196,280,218,772,867,233,363,268,344,601,630,300,275
ENSG00000001461,295,260,641,687,1322,1229,2211,2137,532,646,3979,4121,1069,1096
ENSG00000001497,3119,3052,2315,2326,1838,1959,679,776,2418,2143,1408,1590,2012,1788
ENSG00000001561,364,289,348,359,2285,2344,686,832,244,330,738,866,672,635
ENSG00000001617,3207,2390,2381,2307,3890,3838,1919,3398,952,1064,1117,1129,1498,1733
ENSG00000001626,117,28,33,32,118,120,35,59,40,19,18,86,19,32
ENSG00000001629,2101,1708,1972,2089,3282,2634,3350,3488,2017,2078,4194,4240,3515,2993
ENSG00000001630,68,78,80,126,114,104,122,91,25,152,156,202,129,117
ENSG00000001631,297,274,384,357,387,359,304,298,415,326,298,377,276,277
