sample_id,title,group
GSM8086387,DS_iPSC_d90_n_3,disease
GSM8086388,CTL_iPSC_d90_n_3,control
GSM8086389,DS_iPSC_d35_n_3,disease
GSM8086390,CTL_iPSC_d35_n_3,control
GSM8086391,CTL_iPSC_d21_n_1,control
GSM8086392,CTL_iPSC_d21_n_2,control
GSM8086393,DS_iPSC_d35_n_1,disease
GSM8086394,DS_iPSC_d35_n_2,disease
GSM8086395,DS_iPSC_d90_n_1,disease
GSM8086396,DS_iPSC_d90_n_2,disease
GSM8086397,DS_iPSC_d90_VPA_n_1,disease
GSM8086398,DS_iPSC_d90_VPA_n_2,disease
GSM8086399,CTL_iPSC_d35_n_1,control
GSM8086400,CTL_iPSC_d35_n_2,control
GSM8086401,CTL_iPSC_d90_n_1,control
GSM8086402,CTL_iPSC_d90_n_2,control
GSM8086403,CTL_iPSC_d90_VPA_n_1,control
GSM8086404,CTL_iPSC_d90_VPA_n_2,control
