upregulated,downregulated
CACNB4,LRRC61
HS3ST2,ALG10B
SYNDIG1,ARL17B
TTTY14,SLC2A1
CCDC112,SH3D19
ZNF439,ARL17A
PCDHA6,YBX3
SMIM17,POTEF
ETNK1,LGR4
PRKY,RAX
TMEM163,SIK1
CAMTA1,WDR72
PCDHB18P,IL17RB
NLGN4Y,MAN2B1
BTNL9,ZNF37A
USP9Y,LINC00910
GRK3,FRMPD2B
MGAT5B,SIX6
FCHO1,QNG1
SOX11,PIEZO1
PRKG2,FOXI3
GPR26,ABLIM1
SORD2P,CABLES1
LRRC20,VSX2
TBL1Y,RAMACL
TTTY10,LINC02301
RGPD2,PHACTR2
EIF1AY,SLC38A11
ELAVL2,FSTL1
RIPPLY2,ZBED10P
PROKR2,EIF2S3B
EFR3B,ATE1OSP
UTY,URB1-AS1
ADAM23,TSPYL5
NUTM2A-AS1,ZNF593OS
ZNF562,ALDH1A3
DDX3Y,AIFM3
ZNF225-AS1,TMEM109
LINC03100,PROS1
ZFY,LMAN1
ZNF571-AS1,PAX8
LOC102724652,ZNF835
SLC68A1,GPR146
ADGRB1,TCHH
TXLNGY,OXGR1
KDM5D,GABRR2
RPS4Y1,ZXDA
PCDHB3,LINC02315
LOC441666,PAX8-AS1
FNBP1L,
SYNAGE,
PHF21B,
LERFS,
JPT1,
HS3ST4,
PCDH11Y,
AGAP7P,
