drug_name,brd_id,sig_id,score,pvalue,qvalue,zscore,cell_line,dose,time,moa,target,phase,confidence
PP-1,BRD-K47598052-001-06-7,CPC002_PC3_6H:BRD-K47598052-001-06-7:10,-11.9913,2.68608123957651e-07,0.00383294839283436,1.824920134370834,PC3,10,6H,SRC inhibitor,HCK | RET | SRC,,high
GlyTouCan:G32632JB,BRD-K40656405-001-01-5,CPC002_PC3_6H:BRD-K40656405-001-01-5:10,-9.0777,1.19750034123877e-05,0.0400531231230799,1.8444049709096937,PC3,10,6H,,,,high
tenidap,BRD-A87479750-001-01-9,CPC001_VCAP_24H:BRD-A87479750-001-01-9:10,-8.8274,1.64507050614965e-05,0.0414257784104472,1.8452633128532923,VCAP,10,24H,cyclooxygenase inhibitor,ALOX5 | KCNJ4 | PTGS1,,high
BRD-K88378636-001-02-8,BRD-K88378636-001-02-8,ERG005_VCAP_6H:BRD-K88378636-001-02-8:20,-7.7022,2.19167492325571e-05,0.0435657138716559,1.6530998735781135,VCAP,20,6H,,,,high
BRD-K25373946-001-04-6,BRD-K25373946-001-04-6,CPC007_PC3_6H:BRD-K25373946-001-04-6:10,-7.6479,6.41786130517931e-05,0.0957349706036802,1.8241342906452638,PC3,10,6H,,,,medium
GANT-58,BRD-K64451768-001-01-3,CPC006_MCF7_24H:BRD-K64451768-001-01-3:10,-7.2845,9.57100021638624e-05,0.0957349706036802,1.8125079177562782,MCF7,10,24H,GLI antagonist,DHH | GLI1 | IHH,,medium
mafenide,BRD-K30649484-015-07-3,CPC009_MCF7_24H:BRD-K30649484-015-07-3:10,-7.0878,0.000106542309382467,0.0957349706036802,1.7842258308746552,MCF7,10,24H,carbonic anhydrase inhibitor,CA12 | CA14 | CA2 | CA4 | CA6 | CA9,,medium
BRD-K66792149-001-01-8,BRD-K66792149-001-01-8,CPC006_PC3_24H:BRD-K66792149-001-01-8:11.1,-7.0669,0.000114886149389284,0.0957349706036802,1.7937463246226915,PC3,11.1,24H,,,,medium
BRD-K32644160-001-16-4,BRD-K32644160-001-16-4,CPC007_PC3_24H:BRD-K32644160-001-16-4:10,-6.9396,0.000213645104230279,0.122410114907044,1.890744162812788,PC3,10,24H,,,,medium
Ro-28-1675,BRD-K21672174-001-02-2,CPC006_HCC15_6H:BRD-K21672174-001-02-2:160,-6.9275,0.000139145741936584,0.0958041294275837,1.796313993867493,HCC15,160,6H,glucokinase activator,GCK,,medium
