sample_id,title,source,characteristics,treatment
GSM8086387,DS_iPSC_d90_n_3,Brain organoid,tissue: Brain organoid; genotype: iPSC Dravet Syndrome (PFIZi014); treatment: d90,
GSM8086388,CTL_iPSC_d90_n_3,Brain organoid,tissue: Brain organoid; genotype: iPSC control (CW70019); treatment: d90,
GSM8086389,DS_iPSC_d35_n_3,Brain organoid,tissue: Brain organoid; genotype: iPSC Dravet Syndrome (PFIZi014); treatment: d35,
GSM8086390,CTL_iPSC_d35_n_3,Brain organoid,tissue: Brain organoid; genotype: iPSC control (CW70019); treatment: d35,
GSM8086391,CTL_iPSC_d21_n_1,Brain organoid,tissue: Brain organoid; genotype: iPSC control (CW70019); treatment: d21,
GSM8086392,CTL_iPSC_d21_n_2,Brain organoid,tissue: Brain organoid; genotype: iPSC control (CW70019); treatment: d21,
GSM8086393,DS_iPSC_d35_n_1,Brain organoid,tissue: Brain organoid; genotype: iPSC Dravet Syndrome (PFIZi014); treatment: d35,
GSM8086394,DS_iPSC_d35_n_2,Brain organoid,tissue: Brain organoid; genotype: iPSC Dravet Syndrome (PFIZi014); treatment: d35,
GSM8086395,DS_iPSC_d90_n_1,Brain organoid,tissue: Brain organoid; genotype: iPSC Dravet Syndrome (PFIZi014); treatment: d90,
GSM8086396,DS_iPSC_d90_n_2,Brain organoid,tissue: Brain organoid; genotype: iPSC Dravet Syndrome (PFIZi014); treatment: d90,
GSM8086397,DS_iPSC_d90_VPA_n_1,Brain organoid,tissue: Brain organoid; genotype: iPSC Dravet Syndrome (PFIZi014); treatment: d90+VPA,
GSM8086398,DS_iPSC_d90_VPA_n_2,Brain organoid,tissue: Brain organoid; genotype: iPSC Dravet Syndrome (PFIZi014); treatment: d90+VPA,
GSM8086399,CTL_iPSC_d35_n_1,Brain organoid,tissue: Brain organoid; genotype: iPSC control (CW70019); treatment: d35,
GSM8086400,CTL_iPSC_d35_n_2,Brain organoid,tissue: Brain organoid; genotype: iPSC control (CW70019); treatment: d35,
GSM8086401,CTL_iPSC_d90_n_1,Brain organoid,tissue: Brain organoid; genotype: iPSC control (CW70019); treatment: d90,
GSM8086402,CTL_iPSC_d90_n_2,Brain organoid,tissue: Brain organoid; genotype: iPSC control (CW70019); treatment: d90,
GSM8086403,CTL_iPSC_d90_VPA_n_1,Brain organoid,tissue: Brain organoid; genotype: iPSC control (CW70019); treatment: d90+VPA,
GSM8086404,CTL_iPSC_d90_VPA_n_2,Brain organoid,tissue: Brain organoid; genotype: iPSC control (CW70019); treatment: d90+VPA,
